MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13,PLP_1,PLP_2,PLP_3,PLP_4,PLP_5,PLP_6,PLP_7,PLP_8,PLP_9,PLP_10,PLP_11,PLP_12,PLP_13,Speaker
-226.90335917753296,57.94776106415292,-24.9655752566837,16.12923509138398,-25.747677688731425,-17.251623600969776,-28.91635256617905,-15.580975528899575,-14.758488495105848,-11.536476435233771,-7.521883410391374,-0.2994754785916094,-5.600484392998616,1.0,-1.5396039055417432,1.560685438598075,-1.235573491076961,0.7732010463220943,-0.6793626405152517,0.735169101126632,-0.725097102108,0.5486919987651763,-0.3870457763360904,0.3276642641829166,-0.2345805442848207,0.1870477526941514,-78.11108444702386,-1.0092840970928016,-0.5021751791690339,-0.6694811136030254,-0.752522238437708,-0.8018659778124912,-0.8343707375456679,-0.857263534838333,-0.8741595778000965,-0.8870689921611439,-0.8971998950681209,-0.9053243548274568,-0.9162729079561168,Speaker_0000
-215.29479314025684,58.88303404456263,-27.283525316755487,22.903258703425244,-20.852545372384377,-19.52005740921165,-31.3286343440194,-17.95241377813262,-19.25934124417628,-13.58808683125221,-6.018276210427825,1.5997528295546712,-6.860898957567911,1.0,-1.6591738392792796,1.6703682257714,-1.3090176513223413,0.8711192927372758,-0.8085063065753572,0.8593647616005153,-0.8688953991646865,0.6248399175210704,-0.3876361227646008,0.3082879515518525,-0.2155858099136648,0.1878404634230888,-76.12641747592959,-1.0096004421620286,-0.5024979344145765,-0.6699004710730279,-0.7530220135550808,-0.8024384311802121,-0.8350100020705173,-0.8579642514594911,-0.8749166214147122,-0.887877561177941,-0.898055784391698,-0.9062242613625124,-0.91670024143892,Speaker_0000
-247.3343107999652,62.93546158162363,-18.8204784206638,20.116399980307584,-21.06970273166985,-20.37125969794532,-30.247789046492503,-19.52354211214409,-17.944480774591998,-11.149336019363902,-8.12995693132178,-2.4063845792043588,-6.784585325577113,1.0,-1.5723019366867554,1.5034184033107258,-1.139776808723327,0.7449277040810514,-0.7271637686528377,0.7689672771077656,-0.7659445626704503,0.5382548830731897,-0.3350109779385233,0.3076594967313332,-0.2280418246961739,0.1902221985326907,-79.02339256184757,-1.0095320374350705,-0.5023206971963098,-0.6696618961026032,-0.752720039737619,-0.8020740009553587,-0.8345857723491803,-0.8574839434814445,-0.8743846683404137,-0.8872988500083075,-0.897435382005728,-0.9055670552365273,-0.9166436686497692,Speaker_0000
-281.420776621871,55.61396878659829,-17.373799356888476,11.523371477443314,-22.91468409010242,-15.7005782166229,-28.994302772417647,-14.71421310553386,-13.638784604715028,-9.554846508827412,-6.846968720990716,-3.058036094990818,-3.191897369278544,1.0,-1.3364967115929007,1.3150733526219949,-1.073286824195824,0.6928101651337853,-0.5689627432082341,0.5969865455943428,-0.5835739682088197,0.4659825742469051,-0.3467829186079597,0.2763023966926874,-0.1863293533569907,0.1515291214507039,-85.38834740374753,-1.0064506859587978,-0.5008748016648713,-0.6677675469146087,-0.7506366070064016,-0.79990949821124,-0.8323988742059736,-0.8553128156970439,-0.8722575268356751,-0.8852383620837432,-0.8954604774492528,-0.9036933444004132,-0.9143057397171634,Speaker_0000
-246.79028922802271,63.082774510479446,-17.6451262382525,16.202800644682924,-26.880520295721325,-20.102459964911475,-29.29183324360016,-15.922821430956086,-13.589966284300496,-13.294200752950667,-10.62715746865044,-3.076922855910575,-5.583562757000919,1.0,-1.50170650257823,1.4679626594683193,-1.1476484673551832,0.6726390670865521,-0.5703108232283509,0.6546582277532171,-0.6488370693021005,0.4828268652659033,-0.3487238583123013,0.2880800767933631,-0.1983423412297767,0.1643529774289078,-80.06173469609321,-1.0074405711711365,-0.5015211675223469,-0.6686151073906647,-0.7516122085605649,-0.8009804782839459,-0.8335453379872932,-0.8565199064257295,-0.8735127176708471,-0.8865304712320006,-0.8967794413933944,-0.905030451288528,-0.9153103701538644,Speaker_0000
-266.83521898850114,59.08156208780366,-18.49295282327098,13.758448899993718,-23.83223623132632,-18.65811129075417,-29.92961849069516,-15.607058547983376,-13.846920376040174,-9.770608501929924,-8.26464620290527,-3.0716175964907078,-3.833231697080054,1.0,-1.4950644018580608,1.4529072859855143,-1.1890664780514628,0.7818685376267643,-0.6755428691104175,0.7262485823699835,-0.7206767993476773,0.5612393814695209,-0.4036876045894904,0.319398854290433,-0.2231635665265292,0.1843970658564848,-80.98433501894417,-1.008488699151056,-0.5018018289506612,-0.6689749324886181,-0.7519495267554188,-0.8012549254125069,-0.8337368320440988,-0.8566169029569743,-0.8735078923339799,-0.8864189305348292,-0.8965579992936337,-0.9046974977142735,-0.9158484580139986,Speaker_0000
-243.64810506937224,61.739987782164825,-22.631258549242755,17.422651854917195,-22.58830192217128,-16.88695654570713,-30.72173376318097,-20.209820681330903,-18.46982430967301,-10.934211531043577,-5.732513238767906,-0.6563039646052846,-5.251969193005855,1.0,-1.6236223918712631,1.5929661066208392,-1.276482079565062,0.840486830712086,-0.7246070280222439,0.7574896167417929,-0.754521474587344,0.5868761981460932,-0.4103583019638671,0.3284461818848119,-0.2315379263106177,0.1867895585550454,-77.61101107574646,-1.008517014340179,-0.501994543590546,-0.6692368860764711,-0.7522890201486092,-0.8016717827881014,-0.8342279450015437,-0.857177791623912,-0.8741331517539129,-0.8871023036655167,-0.8972923183237388,-0.9054745700110824,-0.915959643532408,Speaker_0000
-246.2451665609556,59.57638128748582,-19.522427784616927,20.96172727530044,-20.481372196723683,-16.694963513901406,-31.858968429206787,-19.00215666256502,-17.527653493542985,-9.78915977728316,-6.231190201170939,-0.7251546595709857,-6.623052771359732,1.0,-1.5239539885009732,1.509915756904864,-1.1979842643060696,0.8016082817370979,-0.7321847075060129,0.7630821993612124,-0.7371792617789116,0.536798442516166,-0.3638730040231832,0.2996010184789448,-0.2063816750409757,0.1787071718715347,-78.56592701740871,-1.008256464034864,-0.5018427267704172,-0.6690438095047039,-0.7520760999790144,-0.8014489180545774,-0.8340015339633923,-0.8569529210933183,-0.8739143828617446,-0.8868939641170697,-0.8970985525495238,-0.9052992468092246,-0.9156527322739848,Speaker_0000
-262.38491926567133,56.79234757786206,-22.899464387096053,21.513428208256435,-21.14799076791582,-20.046811922763244,-30.44983032444542,-16.14843764614902,-15.540873616221146,-12.057443312423976,-6.566094457724374,0.2365193072394674,-6.614947423594164,1.0,-1.5523191302124597,1.553493777154043,-1.226641008288582,0.810163564373124,-0.7444560741677664,0.7630480030267885,-0.7549448951197789,0.5412886493568437,-0.3416001896192219,0.2891220527253444,-0.1926562404773532,0.1672492247100536,-79.99154588521696,-1.0087379796407003,-0.5018950567883935,-0.6691017776881958,-0.7520858824907349,-0.8013901960116566,-0.833865027816661,-0.8567340529950079,-0.8736110306858134,-0.886505559417548,-0.8966256796609535,-0.9047433460403684,-0.9160348468826908,Speaker_0000
-275.3275578879676,47.78552917945444,-21.20955396755905,19.54789616188505,-16.45191387743631,-16.376209291551156,-28.33139191325204,-14.06847598684172,-16.67180139462841,-7.547514611994077,-5.5596793061501,-0.0717255314258098,-5.896518044810034,1.0,-1.3749933683631717,1.3923394410500998,-1.118799467270177,0.7748380855267111,-0.7418819312798272,0.7521675467298199,-0.7311418767572346,0.5473534760838469,-0.398348907644529,0.3440428843416187,-0.2268595179783334,0.1811099869638703,-83.0723823481226,-1.0089911489050565,-0.5018321352923619,-0.6690183706913111,-0.7519507069794852,-0.8011934075028139,-0.8336044216128239,-0.8564111061795556,-0.8732292719882944,-0.8860696995941609,-0.8961410584650242,-0.904215596244083,-0.9155698050786504,Speaker_0000
